#root,dhatu,gana,meanings
#cap2,capaz,curAxiH,MISSING
cam1,camuz,BvAxiH,MISSING
cam2,camaz,BvAxiH,MISSING
cam3,camuz,svAxiH,BakRaNe
camp1,capiz,curAxiH,gawyAm
cay1,cayaz,BvAxiH,gawO
car1,caraz,BvAxiH,gawyarWaH
car2,caraz,curAxiH,saMSaye
carc1,carcaz,BvAxiH,pariBARaNahiMsAwarjaneRu
carc2,carcaz,wuxAxiH,pariBARaNaBarwsanayoH
carc3,carcaz,curAxiH,aXyayane
carb1,carbaz,BvAxiH,gawO
carv1,carvaz,BvAxiH,axane
#cala1,caliH,BvAxiH,kampane
cal1,calaz,BvAxiH,kampane
cal2,calaz,wuxAxiH,vilasane
cal3,calaz,curAxiH,BqwO
caR1,caRaz,BvAxiH,BakRaNe
caha1,caha,curAxiH,parikalkane
cah1,cahaz,BvAxiH,parikalkane
cah2,cahaz,curAxiH,parikalkane
cAy1,cAyqz,BvAxiH,pUjAniSAmanayoH
ci1,ciF,svAxiH,cayane
ci2,ciF,curAxiH,cayane
ci3,ci,curAxiH,BARArWaH
cit1,citaz,BvAxiH,parapreRye
ciw1,ciwIz,BvAxiH,saMjFAne
ciw2,ciwaz,curAxiH,saMcewane
ciwra1,ciwra,curAxiH,ciwrIkaraNe
cinw1,ciwiz,curAxiH,smqwyAm
ciri1,ciri,svAxiH,hiMsAyAm
cil1,cilaz,wuxAxiH,vasane
cill1,cillaz,BvAxiH,SEWilye BAvakaraNe ca
cIk1,cIkaz,curAxiH,AmarRaNe
cIB1,cIBqz,BvAxiH,Sabxe
cIv1,cIvqz,BvAxiH,AxAnasaMvaraNayoH
cIv2,cIvaz,curAxiH,BARArWaH
cukk1,cukkaz,curAxiH,vyaWane
cucy1,cucyaz,BvAxiH,iwyeke
cut1,cutaz,wuxAxiH,Cexane
cut2,cutaz,curAxiH,Cexane
cutt1,cuttaz,curAxiH,alpIBAve
cud1,cudaz,wuxAxiH,samvaraNe
cudd1,cuddaz,BvAxiH,BAvakaraNe
cuNt1,cutiz,curAxiH,Cexane
cuNd1,cudiz,BvAxiH,alpIBAve
cux1,cuxaz,curAxiH,saMcoxane
cup1,cupaz,BvAxiH,manxAyAM gawO
cumb1,cubiz,BvAxiH,vakwrasaMyoge
cumb2,cubiz,curAxiH,hiMsAyAm
cur1,curaz,curAxiH,sweye
cul1,culaz,curAxiH,samucCrAye
cull1,cullaz,BvAxiH,BAvakaraNe
cUr1,cUrIz,xivAxiH,xAhe
cUrN1,cUrNaz,curAxiH,preraNe
cUR1,cURaz,BvAxiH,pAne
cqw1,cqwIz,wuxAxiH,hiMsASranWanayoH
#cqp1,cqpaz,curAxiH,MISSING
cel1,ceLz,BvAxiH,calane
ceRt1,ceRtaz,BvAxiH,ceRtAyAm
cyu1,cyuf,BvAxiH,gawO
cyuw1,cyuwizr,BvAxiH,Asecane
#cyus1,cyusaz,curAxiH,
cy1,cyuz,curAxiH,sahane
CaFj1,Cajiz,curAxiH,kqcCrajIvane
Caxa1,Caxa,curAxiH,apavAraNe
Cax1,Caxizr,BvAxiH,Urjane
Cax2,Caxaz,curAxiH,MISSING
Canx1,Caxiz,curAxiH,saMvaraNe
Cam1,Camuz,BvAxiH,axane
Carx1,Carxaz,curAxiH,vamane
CaR1,CaRaz,BvAxiH,hiMsAyAm
Cix1,Cixizr,ruXAxiH,xvEXIkaraNe
Cixra1,Cixra,curAxiH,karNaBexane
#Cut1,Cutaz,wuxAxiH,Cexane
Cud1,Cudaz,wuxAxiH,MISSING
Cup1,Cupaz,wuxAxiH,sparSe
Cur1,Curaz,wuxAxiH,Cexane
Cqx1,uzcCqxizr,ruXAxiH,xIpwixevanayoH
Cqx2,CqxIz,curAxiH,saMxIpane
#Cqp1,Cqpaz,curAxiH,MISSING
Cexa1,Cexa,curAxiH,xvEXIkaraNe
Co1,Co,xivAxiH,Cexane
jakR1,jakRaz,axAxiH,BakRahasanayoH
jaj1,jajaz,BvAxiH,yuxXe
#jaFj1,jajiz,BvAxiH,yuxXe
jat1,jataz,BvAxiH,safGAwe
jan1,janIz,BvAxiH,MISSING
jan2,janaz,juhowyAxiH,janane
jan3,janIz,xivAxiH,prAxurBAve
#jan4,januz,wuxAxiH,MISSING
jap1,japaz,BvAxiH,vyakwAyAM vAci mAnase ca
jaB1,jaBIz,BvAxiH,gAwravinAme
jam1,jamuz,BvAxiH,axane
jamB1,jaBiz,curAxiH,nASane
jarj1,jarjaz,BvAxiH,pariBARaNahiMsAwarjaneRu
jarj2,jarjaz,wuxAxiH,pariBARANahiMsAwarjaneRu
jal1,jalaz,BvAxiH,GAwane
jal2,jalaz,curAxiH,apavAraNe
jalp1,jalpaz,BvAxiH,vyakwAyAM vAci
jaR1,jaRaz,BvAxiH,hiMsArWaH
jas1,jasuz,xivAxiH,mokRaNe
jas2,jasuz,curAxiH,hiMsAyAm
jas3,jasuz,curAxiH,wAdane
jAgq1,jAgq,axAxiH,nixrAkRaye
ji1,ji,BvAxiH,jaye
#,ji2,ji,BvAxiH jaye aBiBave ca
jinv1,jiviz,BvAxiH,prINanArWaH
#jinv2,jiviz,curAxiH,MISSING
jim1,jimuz,BvAxiH,MISSING
jiri1,jiri,svAxiH,hiMsAyAm
jiR1,jiRuz,BvAxiH,secane
jIv1,jIvaz,BvAxiH,prANaXAraNe
jufg1,jugiz,BvAxiH,varjane
#jud1,judaz,wuxAxiH,gawO
jud2,judaz,curAxiH,preraNe
#juw1,juwqz,BvAxiH,BAsane
juR1,juRIz,wuxAxiH,prIwisevanayoH
juR2,juRaz,curAxiH,pariwarkaNe
jUr1,jUrIz,xivAxiH,hiMsAvayohAnyoH
#jUR1,jURaz,BvAxiH,hiMsAyAm
jqmB1,jqBiz,BvAxiH,gAwravinAme
#jQ1,jQR,BvAxiH,MISSING
jQ2,jQR,xivAxiH,vayohAnO
jQ3,jQ,kryAxiH,vayohAnO
jQ4,jQ,curAxiH,vayohAnO
jeR1,jeRqz,BvAxiH,gawO
jeh1,jehqz,BvAxiH,prayawne gawO ca
jE1,jE,BvAxiH,kRaye
jaMs1,jasiz,curAxiH,rakRaNe
jFap1,jFapaz,curAxiH,jFAnajFApanamAraNawoRaNaniSAnaniSAmaneRu
jFA1,jFA,BvAxiH,mAraNaworaNaniSAmaneRu
jFA2,jFA,kryAxiH,avaboXane
jFA3,jFA,curAxiH,niyoge
jyA1,jyA,kryAxiH,vayohAnO
jyu1,jyuf,BvAxiH,gawO
#jri1,jri,BvAxiH,aBiBave
jri2,jri,curAxiH,vayohAnO
jvar1,jvaraz,BvAxiH,roge
jval1,jvalaz,BvAxiH,xIpwO
#jval2,jvalaz,BvAxiH,xIpwO
Jat1,Jataz,BvAxiH,safGAwe
Jam1,Jamuz,BvAxiH,axane
JarJ1,JarJaz,BvAxiH,pariBARaNahiMsAwarjaneRu
#JarJ2,JarJaz,wuxAxiH,pariBARaNaBarwsanayoH
JaR1,JaRaz,BvAxiH,hiMsArWaH
JaR2,JaRaz,BvAxiH,AxAnasaMvaraNayoH
JQ1,JQ,kryAxiH,iwyeke vayohAnO
JQ2,JQR,xivAxiH,vayohAnO
tafk1,takiz,curAxiH,banXane
tal1,talaz,BvAxiH,vEkalye
tik1,tikqz,BvAxiH,gawyarWaH
tIk1,tIkqz,BvAxiH,gawyarWaH
tval1,tvalaz,BvAxiH,vEkalye
dap1,dapaz,curAxiH,saMGAwe
#damba1,damba,curAxiH,MISSING
dip1,dipaz,xivAxiH,kRepe
dip2,dipaz,wuxAxiH,kRepe
dip3,dipaz,curAxiH,kRepe
dip4,dipaz,curAxiH,saMGAwe
dI1,dIf,BvAxiH,vihAyasA gawO
dI2,dIf,xivAxiH,vihAyasA gawO
DOk1,DOkqz,BvAxiH,gawyarWaH
wak1,wakaz,BvAxiH,hasane
wakR1,wakRUz,BvAxiH,wanUkaraNe
wakR2,wakRaz,BvAxiH,wvacane
wafk1,wakiz,BvAxiH,kqcCrajIvane
wafg1,wagiz,BvAxiH,gawyarWaH
waFc1,waFcuz,BvAxiH,gawyarWaH
#waFc2,waFcUz,ruXAxiH,safkocane
wat1,wataz,BvAxiH,ucCrAye
wad1,wadaz,curAxiH,AGAwe
#wad2,wadaz,curAxiH,BARArWaH
waNd1,wadiz,BvAxiH,wAdane
wan1,wanuz,wanAxiH,viswAre
wan2,wanuz,curAxiH,SraxXopakaraNayoH hanana iwyanye
wanwr1,wawriz,curAxiH,kutumbaXAraNe
wap1,wapaz,BvAxiH,sanwApe
wap2,wapaz,xivAxiH,ESvarye vA
wap3,wapaz,curAxiH,xAhe
wam1,wamuz,xivAxiH,kAfkRAyAm
way1,wayaz,BvAxiH,gawO
wark1,warkaz,curAxiH,BARArWaH
warj1,warjaz,BvAxiH,Barwsane
warj2,warjaz,curAxiH,MISSING
warx1,warxaz,BvAxiH,hiMsAyAm
wal1,walaz,curAxiH,prawiRTAyAm
#was1,wasuz,xivAxiH,upakRaye
wAy1,wAyqz,BvAxiH,saMwAnapAlanayoH
wik1,wikqz,BvAxiH,gawyarWaH
wik2,wikaz,svAxiH,Askanxane gawO ca
wig1,wigaz,svAxiH,Askanxane gawO ca
wij1,wijaz,BvAxiH,kRamAyAM niSAne ca
wij2,wijaz,curAxiH,niSAne
wip1,wipqz,BvAxiH,kRaraNArWaH
wim1,wimaz,xivAxiH,ArxrIBAve
wil1,wilaz,BvAxiH,gawO
wil2,wilaz,wuxAxiH,snehane
wil3,wilaz,curAxiH,snehane
will1,willaz,BvAxiH,gawO
wIk1,wIkqz,BvAxiH,gawyarWaH
#wIm1,wImaz,xivAxiH,MISSING
wIra1,wIra,curAxiH,karmasamApwO
wIv1,wIvaz,BvAxiH,sWOlye
wuj1,wujaz,BvAxiH,hiMsAyAm
#wuj2,wujaz,curAxiH,MISSING
wuFj1,wujiz,BvAxiH,pAlane
wuFj2,wujiz,curAxiH,hiMsAbalAxAnanikewaneRu
#wuFj3,wujiz,curAxiH,BARArWaH
wut1,wutaz,wuxAxiH,kalahakarmaNi
wud1,wudqz,BvAxiH,wodane
#wud2,wudaz,wuxAxiH,wodane
wuN1,wuNaz,wuxAxiH,kOtilye
wuNd1,wudiz,BvAxiH,wodane
wuwWa1,wuwWa,curAxiH,AvaraNe
wux1,wuxaz,wuxAxiH,vyaWane
wup1,wupaz,BvAxiH,hiMsArWaH
wup2,wupaz,wuxAxiH,hiMsAyAm
wuP1,wuPaz,BvAxiH,hiMsArWaH
wuP2,wuPaz,wuxAxiH,hiMsAyAm
wuB1,wuBaz,BvAxiH,hiMsAyAm
wuB2,wuBaz,xivAxiH,hiMsAyAm
wuB3,wuBaz,kryAxiH,hiMsAyAm
wump1,wumpaz,BvAxiH,hiMsArWaH
wump2,wumpaz,wuxAxiH,hiMsAyAm
wumP1,wumPaz,BvAxiH,hiMsArWaH
wumP2,wumPaz,wuxAxiH,hiMsAyAm
wumb1,wubiz,BvAxiH,arxane
wumb2,wubiz,curAxiH,axarSane arxane iwyeke
wur1,wuraz,juhowyAxiH,wvaraNe
wurv1,wurvIz,BvAxiH,hiMsArWaH
wul1,wulaz,curAxiH,unmAne
wuR1,wuRaz,xivAxiH,prIwO
wus1,wusaz,BvAxiH,Sabxe
wuh1,wuhizr,BvAxiH,arxane
#wUd1,wUdqz,BvAxiH,wodane
wUN1,wUNaz,curAxiH,pUraNe
wUr1,wUrIz,xivAxiH,gawiwvaraNahiMsanayoH
wUl1,wUlaz,BvAxiH,rujAyAm
wUR1,wURaz,BvAxiH,wuRtO
wqkR1,wqkRaz,BvAxiH,gawO
wqN1,wqNuz,wanAxiH,axane
wqx1,uzwqxizr,ruXAxiH,hiMsAZnAxarayoH
#wqp1,wqpaz,xivAxiH,prIdane
wqp2,wqpaz,svAxiH,MISSING
wqp3,wqpaz,wuxAxiH,wqpwO
wqp4,wqpaz,curAxiH,wqpwO
#wqP1,wqPaz,wuxAxiH,MISSING
wqmp1,wqmpaz,wuxAxiH,MISSING
wqmP1,wqmPaz,wuxAxiH,wqpwO xvAvapi PAnwAviwyeke
wqR1,FiwqRaz,xivAxiH,pipAsAyAm
wqh1,wqhUz,wuxAxiH,hiMsAyAm
wqh2,wqhaz,ruXAxiH,hiMsAyAm
wqMh1,wqMhUz,wuxAxiH,hiMsAyAm
wQ1,wQ,BvAxiH,plavanawaraNayoH
wej1,wejaz,BvAxiH,pAlane
wep1,wepqz,BvAxiH,kRaraNArWaH
wev1,wevqz,BvAxiH,xevane
waMs1,wasiz,curAxiH,alafkaraNe
wyaj1,wyajaz,BvAxiH,hAnO
#wraK1,wraKaz,BvAxiH,MISSING
wrafk1,wrakiz,BvAxiH,gawyarWaH
#wrafK1,wraKiz,BvAxiH,MISSING
wranx1,wraxiz,BvAxiH,ceRtAyAm
wrap1,wrapUzR,BvAxiH,lajjAyAm
wras1,wrasIz,xivAxiH,uxvege
wras2,wrasaz,curAxiH,XAraNagrahaNavAraNeRu
wrut1,wrutaz,wuxAxiH,Cexane
wrut2,wrutaz,curAxiH,Cexane
wrup1,wrupaz,BvAxiH,hiMsArWaH
#wruP1,wruPaz,BvAxiH,hiMsArWaH
wrump1,wrumpaz,BvAxiH,hiMsArWaH
#wrumP1,wrumPaz,BvAxiH,hiMsArWaH
wrE1,wrEf,BvAxiH,pAlane
wrOk1,wrOkqz,BvAxiH,gawyarWaH
wraMs1,wrasiz,curAxiH,BARArWaH
wvakR1,wvakRUz,BvAxiH,wanUkaraNe
wvafg1,wvagiz,BvAxiH,gawyarWaH
wvac1,wvacaz,wuxAxiH,samvaraNe
wvaFc1,wvaFcuz,BvAxiH,gawyarWaH
wvar1,FiwvarAz,BvAxiH,saMBrame
wviR1,wviRaz,BvAxiH,xIpwO
wsar1,wsaraz,BvAxiH,CaxmagawO
#Wip1,Wipqz,BvAxiH,MISSING
Wud1,Wudaz,wuxAxiH,samvaraNe
#Wurv1,WurvIz,BvAxiH,hiMsArWaH
Wep1,Wepqz,BvAxiH,MISSING
xakR1,xakRaz,BvAxiH,vqxXO SIGrArWe ca
xakR2,xakRaz,BvAxiH,gawihiMsanayoH
xaG1,xaGaz,svAxiH,GAwane pAlane ca
xaNda1,xaNdaz,curAxiH,xaNdanipAwane
xax1,xaxaz,BvAxiH,xAne
#xaX1,xaXaz,BvAxiH,XAraNe
xam1,xamuz,xivAxiH,upaSame
xamB1,xamBuz,svAxiH,xamBane
xay1,xayaz,BvAxiH,xAnagawirakRaNa hiMsAxAneRu
xarixrA1,xarixrA,axAxiH,xurgawO
xal1,xalaz,BvAxiH,viSaraNe
xal2,xalaz,curAxiH,vixAraNe
xas1,xasuz,xivAxiH,upakRaye
#xas2,xasuz,curAxiH,xarSanaxaMSanayoH
xah1,xahaz,BvAxiH,BasmIkaraNe
xA1,xAN,BvAxiH,xAne
xA2,xAp,axAxiH,lavaNe
xA3,duxAF,juhowyAxiH,xAne
xAn1,xAnaz,BvAxiH,KaNdane
xAS1,xASqz,BvAxiH,xAne
xAS2,xASqz,svAxiH,hiMsAyAm
xAs1,xAsqz,BvAxiH,xAne
xinv1,xiviz,BvAxiH,prINanArWaH
xiv1,xivuz,xivAxiH,krIdAvijigIRAvyavahAraxyuwiswuwimoxamaxasvapnakAnwigawiRu
xiv2,xivuz,curAxiH,paripUjane
xiv3,xivuz,curAxiH,marxane
xiS1,xiSaz,wuxAxiH,awisarjane
xih1,xihaz,axAxiH,upacaye
xI1,xIf,xivAxiH,kRaye
xIkR1,xIkRaz,BvAxiH,mONdayejyopanayananiyamavrawAxeSeRu
xIXI1,xIXIf,axAxiH,xIpwixevanayoH
xIp1,xIpIz,xivAxiH,xIpwO
xu1,xu,BvAxiH,gawO
xu2,tuxu,svAxiH,upawApe
xurv1,xurvIz,BvAxiH,hiMsArWaH
xul1,xulaz,curAxiH,uwkRepe
xuR1,xuRaz,xivAxiH,vEkqwye
xuh1,xuhizr,BvAxiH,arxane
xuh2,xuhaz,axAxiH,prapUraNe
xuHKa1,xuHKa,curAxiH,wawkriyAyAm
xU1,xUf,xivAxiH,pariwApe
xq1,xq,svAxiH,hiMsAyAm
#xq2,xq,wuxAxiH,Axare
xqp1,xqpaz,xivAxiH,harRamohanayoH
xqp2,xqpaz,wuxAxiH,uwkaleSe
#xqp3,xqpaz,curAxiH,MISSING
xqP1,xqPaz,wuxAxiH,MISSING
xqB1,xqBIz,wuxAxiH,granWe
xqB2,xqBIz,curAxiH,granWe
xqB3,xqBaz,curAxiH,sanxarBe
#xqmp1,xqmpaz,wuxAxiH,MISSING
xqmP1,xqmPaz,wuxAxiH,uwkaleSe
xqS1,xqSizr,BvAxiH,prekRaNe
xqh1,xqhaz,BvAxiH,vqxXO
xqMh1,xqhiz,BvAxiH,vqxXO
#xQ1,xQ,BvAxiH,Baye
xQ2,xQ,kryAxiH,vixAraNe
xe1,xef,BvAxiH,rakRaNe
xev1,xevqz,BvAxiH,xevane
xE1,xEp,BvAxiH,SoXane
xo1,xo,xivAxiH,avaKaNdane
xaMS1,xaMSaz,BvAxiH,xaSane
xaMS2,xaSiz,curAxiH,xaMSane
xaMS3,xaSiz,curAxiH,BARArWaH
xaMs1,xasiz,curAxiH,xaMSane
xaMs2,xasiz,curAxiH,BARArWaH
xyu1,xyu,axAxiH,aBigamane
xyuw1,xyuwaz,BvAxiH,xIpwO
xyE1,xyE,BvAxiH,nyakkaraNe
xram1,xramaz,BvAxiH,gawO
xrA1,xrA,axAxiH,kuwsAyAM gawO
#,xrAK1,xrAKqz,BvAxiH SoRaNAlamarWayoH
xrAG1,xrAGqz,BvAxiH,sAmarWye AyAme ca
#xrAfkR1,xrAkRiz,BvAxiH,GoravAsiwe AkAfkRAyAm ca
xrAd1,xrAdqz,BvAxiH,viSaraNe
xrAh1,xrAhqz,BvAxiH,nixrAkRaye
xru1,xru,BvAxiH,gawO
xruN1,xruNaz,wuxAxiH,hiMsAgawikOtilyeRu
xruh1,xruhaz,xivAxiH,jiGAMsAyAm
#xrU1,xrUF,kryAxiH,hiMsAyAm
xrek1,xrekqz,BvAxiH,SabxowsAhayoH
xrE1,xrE,BvAxiH,svapne
xviR1,xviRaz,axAxiH,aprIwO
#xvq1,xvq,BvAxiH,saMvaraNe
Xakk1,Xakkaz,curAxiH,vyaWane
XaN1,XaNaz,BvAxiH,Sabxe
Xan1,Xanaz,juhowyAxiH,XAnye
Xanv1,Xaviz,BvAxiH,gawyarWaH
XA1,duXAF,juhowyAxiH,XAraNapoRaNayoH
XAv1,XAvuz,BvAxiH,gawiSuxXayoH
Xi1,Xi,wuxAxiH,XAraNe
#XikR1,XikRaz,BvAxiH,saMxIpanakleSanajIvaneRu
Xinv1,Xiviz,BvAxiH,prINanArWaH
XiR1,XiRaz,juhowyAxiH,Sabxe
XI1,XIf,xivAxiH,AXAre
Xu1,XuF,svAxiH,kampane
XukR1,XukRaz,BvAxiH,saMxIpanakleSanajIvaneRu
#Xurv1,XurvIz,BvAxiH,hiMsArWaH
XU1,XUF,svAxiH,kampane
XU2,XUF,wuxAxiH,viXUnane
#,XU3,XUF,kryAxiH kampane
XU4,XUF,curAxiH,kampane
XUp1,XUpaz,BvAxiH,saMwApe
XUp2,XUpaz,curAxiH,BARArWaH
XUr1,XUrIz,xivAxiH,hiMsAgawyoH
#XUS1,XUSaz,curAxiH,MISSING
XUR1,XURaz,curAxiH,MISSING
XUs1,XUsaz,curAxiH,kAnwikaraNe
Xq1,XqF,BvAxiH,XAraNe
Xq2,Xqf,BvAxiH,avaXvaMsane
#Xq3,Xqf,wuxAxiH,avasWAne
Xqj1,Xqjaz,BvAxiH,gawO
XqFj1,Xqjiz,BvAxiH,gawO
XqR1,FiXqRAz,svAxiH,prAgalBe
XqR2,FiXqRAz,curAxiH,prasahane
XQ1,XQ,kryAxiH,MISSING
Xe1,Xet,BvAxiH,pAne
Xeka1,Xeka,curAxiH,xarSana
#,Xep1,Xepqz,BvAxiH MISSING
Xor1,Xorqz,BvAxiH,gawicAwurye
XmA1,XmA,BvAxiH,SabxAgnisaMyogayoH
XyE1,XyE,BvAxiH,cinwAyAm
#Xraj1,Xrajaz,BvAxiH,gawO
XraFj1,Xrajiz,BvAxiH,gawO
Xras1,uzXrasaz,kryAxiH,uFCe
XrAK1,XrAKqz,BvAxiH,SoRaNAlamarWayoH
#XrAG1,XrAGqz,BvAxiH,MISSING
XrAfkR1,XrAkRiz,BvAxiH,GoravAsiwe AkAfkRAyAm ca
#XrAd1,XrAdqz,BvAxiH,viSaraNe
Xru1,Xru,BvAxiH,sWErye
#Xru2,Xru,wuxAxiH,gawisWEryayoH
Xruv1,Xruvaz,wuxAxiH,MISSING
Xrek1,Xrekqz,BvAxiH,SabxowsAhayoH
XrE1,XrE,BvAxiH,wqpwO
Xvaj1,Xvajaz,BvAxiH,gawO
XvaFj1,Xvajiz,BvAxiH,gawO
XvaN1,XvaNaz,BvAxiH,SabxArWaH
Xvana1,Xvana,curAxiH,Sabxe
Xvan1,Xvanaz,BvAxiH,MISSING
Xvan2,Xvanaz,BvAxiH,Sabxe
XvAfkR1,XvAkRiz,BvAxiH,GoravAsiwe AkAfkRAyAm ca
Xvq1,Xvq,BvAxiH,hUrcCane
XvaMs1,XvaMsuz,BvAxiH,avasraMsane
nakk1,nakkaz,curAxiH,nASane
nakR1,NakRaz,BvAxiH,gawO
naK1,NaKaz,BvAxiH,gawyarWaH
nafK1,NaKiz,BvAxiH,gawyarWaH
nat1,Nataz,BvAxiH,nqwwO
nat2,Nataz,BvAxiH,nqwwO gawAviwyanye
nat3,nataz,curAxiH,avasyanxane
#nat4,nataz,curAxiH,BARArWaH
nax1,Naxaz,BvAxiH,avyakwe Sabxe
nax2,Naxaz,curAxiH,BARArWaH
nanx1,tunaxiz,BvAxiH,samqxXO
naB1,NaBaz,BvAxiH,hiMsAyAm
naB2,NaBaz,xivAxiH,hiMsAyAm
naB3,NaBaz,kryAxiH,hiMsAyAm
nam1,Namaz,BvAxiH,prahvawve Sabxe ca
nay1,Nayaz,BvAxiH,gawO
narx1,narxaz,BvAxiH,Sabxe
nal1,Nalaz,BvAxiH,ganXe
nal2,nalaz,curAxiH,BARArWaH
naS1,NaSaz,xivAxiH,axarSane
nas1,Nasaz,BvAxiH,kOtilye
nah1,Nahaz,xivAxiH,banXane
nAW1,nAWqz,BvAxiH,yAcFopawApESvaryASIHRu
#nAX1,nAXqz,BvAxiH,yAcFopawApESvaryASIHRu
nAs1,NAsqz,BvAxiH,Sabxe
nikR1,NikRaz,BvAxiH,cumbane
nij1,Nijizr,juhowyAxiH,SOcapoRaNayoH
niFj1,Nijiz,axAxiH,SuxXO
#nix1,Nixqz,BvAxiH,kuwsAsannikarRayoH
ninx1,Nixiz,BvAxiH,kuwsAyAm
ninv1,Niviz,BvAxiH,secane sevane cewyeke
nil1,Nilaz,wuxAxiH,gahane
nivAsa1,nivAsa,curAxiH,AcCAxane
niS1,NiSaz,BvAxiH,samAXO
niRk1,niRkaz,curAxiH,parimANe
niMs1,Nisiz,axAxiH,cumbane
nI1,NIF,BvAxiH,prApaNe
nIl1,NIlaz,BvAxiH,varNe
nIv1,NIvaz,BvAxiH,sWOlye
nu1,Nu,axAxiH,swuwO
nux1,Nuxaz,wuxAxiH,preraNe
nux2,Nuxaz,wuxAxiH,preraNe
nU1,NU,wuxAxiH,swavane
nqw1,nqwIz,xivAxiH,gAwravikRepe
#nQ1,nQ,BvAxiH,naye
nQ2,nQ,kryAxiH,naye
nex1,Nexqz,BvAxiH,kuwsAsannikarRayoH
#neR1,NeRqz,BvAxiH,gawO
pakR1,pakRaz,BvAxiH,parigraha
pakR2,pakRaz,curAxiH,parigrahe
pac1,dupacazR,BvAxiH,pAke
#paFc1,paciz,BvAxiH,vyakwIkaraNe
paFc2,paciz,curAxiH,viswAravacane
pata1,pata,curAxiH,granWe
pat1,pataz,BvAxiH,gawO
pat2,pataz,curAxiH,BARArWaH
paT1,paTaz,BvAxiH,vyakwAyAM vAci
paN1,paNaz,BvAxiH,vyavahAre swuwO ca
paNd1,padiz,BvAxiH,gawO
paNd2,padiz,curAxiH,nASane
pawa1,pawa,curAxiH,gawO vA
paw1,pawlqz,BvAxiH,gawO
paW1,paWez,BvAxiH,gawO
paW2,paWaz,curAxiH,prakRepe
pax1,paxaz,xivAxiH,gawO
pax2,paxa,curAxiH,gawO
pan1,panaz,BvAxiH,swuwO
panW1,paWiz,curAxiH,gawO
pay1,payaz,BvAxiH,gawO
parNa1,parNa,curAxiH,hariwaBAve
parx1,parxaz,BvAxiH,kuwsiwe Sabxe
parp1,parpaz,BvAxiH,gawO
parb1,parbaz,BvAxiH,gawO
#parv1,parvaz,BvAxiH,pUraNe
pal1,palaz,BvAxiH,gawO
palyUla1,palyUla,curAxiH,lavupavanayoH
paS1,paSaz,curAxiH,banXane
paRa1,paRaz,curAxiH,gawO vA
pA1,pA,BvAxiH,pAne
pA2,pA,axAxiH,rakRaNe
pAra1,pAra,curAxiH,karmasamApwO
pAl1,pAlaz,curAxiH,rakRaNe
pi1,pi,wuxAxiH,gawO
piC1,piCaz,curAxiH,kuttane
#pij1,pijaz,curAxiH,MISSING
piFj1,pijiz,axAxiH,samparcane iwyeke
piFj2,pijiz,curAxiH,hiMsAbalAxAnanikewaneRu
piFj3,pijiz,curAxiH,BARArWaH
pit1,pitaz,BvAxiH,SabxasaMGAwayoH
